Operation,Usage,Description
**envvar-set**,``envvar-set envvar: value``,Sets (or overwrites) an envvar.
**envvar-append**,``envvar-append envvar: value``, Append a value to an existing envvar.
**envvar-prepend**,``envvar-prepend envvar: value``, Prepend a value to an existing envvar.
**envvar-remove**,``envvar-remove envvar:``, Removes all occurrences of envvar.
**envvar-unset**, ``envvar-unset envvar:``, Unsets (removes) an envvar if it exists.
**module-load**,,TBD
**module-purge**,,TBD
**module-remove**,,TBD
**module-swap**,,TBD
**module-unload**,,TBD
**module-use**,,TBD
